id,Name,B1,B2,B3,B4,B5,B6,B7
1,Forest,7736,7779,8072,7823,13646,9575,8294
2,Forest,7736,7733,8077,7724,13072,9725,8297
3,Forest,7425,7473,7828,7569,11525,8754,7887
4,Forest,8093,8094,8435,7977,17045,11705,8898
5,Forest,7718,7801,8098,7769,13854,10044,8515
6,Forest,7651,7762,8112,7897,14647,10329,8559
7,Forest,7463,7494,7544,7423,8385,7550,7390
8,Forest,7694,7750,8053,7737,12909,9352,8133
9,Forest,8519,8578,9714,9021,23577,15089,10842
10,Forest,8441,8423,9344,8544,25813,16819,11305
11,Forest,7699,7760,8104,7773,12928,9544,8202
12,Forest,7305,7366,7682,7474,10828,8679,7865
13,Forest,7508,7571,7960,7705,15284,9886,8275
14,Forest,7402,7494,7987,7664,15594,10204,8418
15,Forest,8216,8210,8763,8280,22014,13668,9696
16,Forest,7961,7864,8191,7818,18374,11227,8739
17,Forest,7725,7766,8217,7945,15868,10778,8709
18,Forest,7675,7661,7852,7658,11385,9459,8216
19,Forest,8054,8064,8771,8164,26222,15880,10583
20,Forest,7780,7859,8266,7951,16341,11176,8737
21,Forest,7492,7551,7888,7732,11668,9538,8275
22,Forest,7632,7725,8145,7887,15197,10674,8659
23,Forest,7284,7385,7566,7480,9536,8363,7739
24,Forest,7299,7415,7579,7505,10439,8229,7631
25,Forest,7451,7612,8105,7953,14392,10760,8841
26,Forest,7485,7590,7933,7753,12122,9461,8149
27,Forest,7617,7740,8181,7940,13819,11018,8997
28,Forest,7275,7485,8117,7876,15194,11153,8935
29,Forest,7326,7381,7464,7403,7967,7494,7370
30,Forest,7447,7485,7772,7576,11950,8988,7988
31,Forest,8056,7955,8203,7758,15814,10520,8569
32,Forest,7737,7659,7943,7570,13705,9769,8278
33,Forest,7910,7836,7997,7631,14627,10598,8744
34,Forest,7472,7703,8557,8089,22858,12886,9496
35,Forest,7661,7753,8280,7903,17940,12244,9397
36,Forest,7621,7738,8392,7999,17803,12043,9166
37,Forest,7234,7373,7583,7453,11096,8879,7936
38,Forest,7392,7496,7822,7608,13326,9174,7981
39,Forest,7457,7503,7743,7518,10948,8859,7851
40,Forest,7495,7694,8494,8033,20890,12799,9557
41,Forest,7490,7679,8391,7951,18374,12378,9418
42,Forest,7407,7580,8201,7826,17222,11193,8881
43,Forest,7356,7523,7918,7560,13025,8980,7927
44,Forest,7789,7892,8501,8116,19262,12342,9419
45,Forest,7791,7917,8660,8229,20422,12587,9312
46,Forest,7648,7810,8395,8084,18100,11839,9070
47,Forest,7745,7812,8574,8264,18885,13438,9986
48,Forest,7561,7683,8590,8017,22139,13311,9647
49,Forest,8075,8035,8284,7983,15236,11072,8930
50,Forest,7802,7866,8285,8005,17376,11352,8799
51,Snow,24854,25969,26494,27249,31296,24444,19728
52,Snow,21721,22780,23544,24422,29285,23628,19627
53,Snow,35237,36938,36776,37788,39836,31350,25286
54,Snow,24104,25828,26394,27853,32891,27402,23742
55,Snow,32781,34525,34468,35644,38545,31810,26823
56,Snow,26734,27628,27592,28210,30823,24559,20849
57,Snow,25272,26095,25771,26348,28587,22659,18937
58,Snow,34069,35453,35321,35937,37537,28125,21755
59,Snow,28833,29738,29248,29795,31462,23752,18834
60,Snow,24893,25739,25757,26465,29581,22641,18100
61,Snow,36593,38608,38032,39589,41583,32593,26574
